epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.704,2.762,2.81542,1.18483,0.57685,0.02275,0.02438,0.01036,2.61186,2.0432,1.13731,0.000302838,0.000302838,0.000302838
2,412.748,2.71137,2.05376,1.10738,0.56539,0.02539,0.02523,0.01007,2.74896,1.81914,1.13712,0.000575849,0.000575849,0.000575849
3,630.282,2.66072,1.93424,1.11478,0.43001,0.03593,0.02853,0.01251,2.53595,1.74901,1.12502,0.000818863,0.000818863,0.000818863
4,846.788,2.64691,1.88554,1.08859,0.29631,0.03614,0.03347,0.0161,2.45752,1.73126,1.10443,0.000774013,0.000774013,0.000774013
5,1097.3,2.61028,1.8017,1.07225,0.29326,0.03249,0.03452,0.01559,2.41838,1.62465,1.08284,0.000729018,0.000729018,0.000729018
6,1316.21,2.52209,1.73018,1.07168,0.08069,0.03414,0.03405,0.015,2.40163,1.5889,1.08493,0.000684022,0.000684022,0.000684022
7,1550.09,2.47353,1.68982,1.0433,0.09437,0.04016,0.03814,0.01751,2.35661,1.48499,1.07098,0.000639027,0.000639027,0.000639027
8,1827.11,2.46127,1.62952,1.05983,0.26171,0.04482,0.04352,0.0196,2.31254,1.47573,1.06495,0.000594031,0.000594031,0.000594031
9,2099.68,2.43231,1.63529,1.04695,0.28401,0.04693,0.0423,0.02016,2.3255,1.45423,1.06609,0.000549036,0.000549036,0.000549036
10,2375.19,2.38363,1.59488,1.01983,0.27636,0.04731,0.0406,0.01888,2.29425,1.45891,1.04592,0.00050404,0.00050404,0.00050404
11,2625.74,2.24395,1.43137,0.90914,0.30213,0.0524,0.04518,0.02065,2.28589,1.48069,1.04613,0.000459045,0.000459045,0.000459045
12,2893.22,2.20426,1.39161,0.89883,0.29981,0.05475,0.04571,0.02184,2.2542,1.4498,1.04163,0.000414049,0.000414049,0.000414049
13,3164.52,2.20816,1.38417,0.90218,0.29271,0.05646,0.04398,0.02073,2.2386,1.43819,1.0386,0.000369054,0.000369054,0.000369054
14,3372.45,2.166,1.34978,0.88794,0.47723,0.05909,0.04531,0.02055,2.2607,1.48333,1.03976,0.000324058,0.000324058,0.000324058
15,3600.88,2.15165,1.33274,0.88745,0.36752,0.05926,0.04992,0.02447,2.2314,1.48386,1.03342,0.000279063,0.000279063,0.000279063
16,3832.58,2.14191,1.317,0.88457,0.36368,0.06061,0.04687,0.02226,2.21672,1.47705,1.03407,0.000234068,0.000234068,0.000234068
17,4059.07,2.13608,1.3051,0.88917,0.32787,0.06169,0.04755,0.02353,2.18865,1.45013,1.02615,0.000189072,0.000189072,0.000189072
18,4286.76,2.12667,1.27765,0.87999,0.33558,0.06175,0.04883,0.02362,2.19679,1.44227,1.02402,0.000144077,0.000144077,0.000144077
19,4487.86,2.07087,1.27538,0.87441,0.3341,0.06697,0.04712,0.02256,2.19765,1.46977,1.02524,9.9081e-05,9.9081e-05,9.9081e-05
20,4637.67,2.08554,1.27226,0.87712,0.37095,0.06363,0.04995,0.02455,2.17523,1.4324,1.01999,5.40855e-05,5.40855e-05,5.40855e-05
