epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8115,1.73848,2.16103,1.10517,0.4238,0.18386,0.16296,0.09414,1.62087,1.29912,1.04695,0.000301711,0.000301711,0.000301711
2,88.8974,1.63337,1.37359,1.07611,0.45421,0.19731,0.17106,0.09363,1.58931,1.28069,1.0397,0.000584755,0.000584755,0.000584755
3,130.639,1.61901,1.31217,1.07291,0.40545,0.22036,0.16523,0.08911,1.60937,1.27704,1.05313,0.000847802,0.000847802,0.000847802
4,196.968,1.58641,1.25047,1.0602,0.51112,0.22827,0.21159,0.11728,1.54812,1.15782,1.04011,0.000819009,0.000819009,0.000819009
5,239.856,1.56501,1.19506,1.05129,0.49482,0.24273,0.23478,0.12257,1.53179,1.11405,1.03102,0.000789012,0.000789012,0.000789012
6,282.864,1.54152,1.15789,1.04539,0.49324,0.22682,0.20967,0.1131,1.53371,1.14923,1.0328,0.000759015,0.000759015,0.000759015
7,326.255,1.51313,1.11695,1.03524,0.4791,0.24691,0.22987,0.12713,1.46965,1.05527,1.02042,0.000729018,0.000729018,0.000729018
8,369.964,1.50307,1.08602,1.03146,0.51656,0.25743,0.24259,0.13074,1.49035,1.06735,1.018,0.000699021,0.000699021,0.000699021
9,413.481,1.49589,1.06783,1.02567,0.41531,0.29651,0.25742,0.13844,1.46001,1.02268,1.0121,0.000669024,0.000669024,0.000669024
10,456.513,1.46583,1.03881,1.01987,0.43396,0.26154,0.24956,0.1358,1.45979,1.02042,1.01913,0.000639027,0.000639027,0.000639027
11,500.06,1.4653,1.02955,1.01559,0.42436,0.28309,0.25991,0.13859,1.46034,1.00078,1.01528,0.00060903,0.00060903,0.00060903
12,542.023,1.4613,1.02142,1.01602,0.44284,0.28183,0.2581,0.13821,1.46118,1.00013,1.01673,0.000579033,0.000579033,0.000579033
13,568.834,1.45284,1.01874,1.01323,0.42582,0.29364,0.2602,0.14175,1.45252,0.99558,1.00604,0.000549036,0.000549036,0.000549036
14,595.712,1.43015,0.98257,1.01212,0.4445,0.30588,0.2692,0.14533,1.45181,0.97451,1.00313,0.000519039,0.000519039,0.000519039
15,622.271,1.423,0.98706,1.00189,0.44454,0.29885,0.28294,0.154,1.42581,0.9587,1.00172,0.000489042,0.000489042,0.000489042
16,649.021,1.4155,0.9577,1.00045,0.54424,0.29109,0.28247,0.15073,1.41732,0.95729,0.99245,0.000459045,0.000459045,0.000459045
17,676.225,1.3976,0.94022,0.99727,0.50009,0.31047,0.27042,0.14679,1.41504,0.94751,0.99875,0.000429048,0.000429048,0.000429048
18,702.821,1.39725,0.93439,0.99368,0.5374,0.26929,0.27076,0.14357,1.42443,0.95062,0.99493,0.000399051,0.000399051,0.000399051
19,729.787,1.38839,0.92579,0.99589,0.53338,0.303,0.30023,0.16214,1.4097,0.91711,0.99812,0.000369054,0.000369054,0.000369054
20,756.692,1.37316,0.90346,0.98984,0.43238,0.32703,0.29618,0.16663,1.39964,0.91334,0.98991,0.000339057,0.000339057,0.000339057
21,789.954,1.41572,0.92373,0.98837,0.43295,0.30774,0.28154,0.15006,1.42211,0.93592,0.99681,0.00030906,0.00030906,0.00030906
22,820.652,1.39649,0.89962,0.9842,0.45631,0.30245,0.29206,0.15942,1.41202,0.91575,0.99282,0.000279063,0.000279063,0.000279063
23,851.051,1.38978,0.88995,0.97774,0.49258,0.29953,0.29945,0.16581,1.40312,0.91022,0.98927,0.000249066,0.000249066,0.000249066
24,889.476,1.37392,0.87309,0.97406,0.45247,0.30749,0.29247,0.16211,1.40281,0.91461,0.98952,0.000219069,0.000219069,0.000219069
25,933.776,1.374,0.86071,0.97493,0.46638,0.30505,0.29614,0.16447,1.39108,0.9034,0.98594,0.000189072,0.000189072,0.000189072
26,978.228,1.36389,0.84923,0.97034,0.42924,0.3326,0.29732,0.16433,1.39119,0.89756,0.98747,0.000159075,0.000159075,0.000159075
27,1022.63,1.35316,0.85062,0.96709,0.39282,0.33765,0.29396,0.16199,1.39117,0.89478,0.98745,0.000129078,0.000129078,0.000129078
28,1067.46,1.34751,0.83554,0.96618,0.4515,0.3087,0.29148,0.15995,1.38348,0.8942,0.98424,9.9081e-05,9.9081e-05,9.9081e-05
29,1111.31,1.34636,0.83295,0.96305,0.51948,0.31329,0.31125,0.17206,1.37474,0.88045,0.98052,6.9084e-05,6.9084e-05,6.9084e-05
30,1155.73,1.33068,0.8211,0.95855,0.52187,0.3144,0.30786,0.16881,1.37181,0.88061,0.98168,3.9087e-05,3.9087e-05,3.9087e-05
