epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3665,1.51068,1.51033,1.06265,0.49742,0.24449,0.22583,0.12411,1.49546,1.07551,1.03073,0.000301711,0.000301711,0.000301711
2,74.6738,1.46058,1.06603,1.03851,0.36099,0.2641,0.23893,0.13246,1.5107,1.04229,1.03777,0.000584755,0.000584755,0.000584755
3,110.913,1.48165,1.06053,1.04739,0.51037,0.24156,0.22694,0.12109,1.47018,1.0404,1.03039,0.000847802,0.000847802,0.000847802
4,146.921,1.45576,1.04093,1.03599,0.37604,0.29977,0.25241,0.13347,1.44519,0.99538,1.03129,0.000819009,0.000819009,0.000819009
5,182.849,1.44388,1.00877,1.03196,0.50435,0.28957,0.25268,0.13423,1.46381,0.97666,1.02757,0.000789012,0.000789012,0.000789012
6,219.153,1.40886,0.96856,1.01454,0.35983,0.30661,0.26716,0.14387,1.46231,0.97438,1.02033,0.000759015,0.000759015,0.000759015
7,256.01,1.39668,0.94002,1.0109,0.45787,0.34062,0.3052,0.16148,1.42977,0.93381,1.01789,0.000729018,0.000729018,0.000729018
8,293.273,1.38962,0.93156,1.01023,0.52064,0.31071,0.3022,0.16631,1.44051,0.93109,1.01917,0.000699021,0.000699021,0.000699021
9,332.663,1.36185,0.8959,0.99629,0.43645,0.29472,0.29216,0.16066,1.40094,0.90981,1.00511,0.000669024,0.000669024,0.000669024
10,372.782,1.34835,0.89079,0.99294,0.44231,0.33338,0.31667,0.16687,1.40096,0.905,1.00626,0.000639027,0.000639027,0.000639027
11,412.834,1.33767,0.87981,0.98917,0.56733,0.3274,0.34332,0.19527,1.39408,0.88627,1.00595,0.00060903,0.00060903,0.00060903
12,452.676,1.32805,0.86905,0.99155,0.52814,0.34847,0.33862,0.18129,1.39426,0.88583,1.00428,0.000579033,0.000579033,0.000579033
13,492.83,1.319,0.84065,0.98211,0.50671,0.35452,0.34522,0.19018,1.38751,0.87793,1.00392,0.000549036,0.000549036,0.000549036
14,533.109,1.30209,0.82887,0.9799,0.51777,0.3219,0.33964,0.18513,1.37792,0.87049,0.99587,0.000519039,0.000519039,0.000519039
15,573.135,1.29317,0.82249,0.97484,0.47271,0.36374,0.3398,0.19348,1.35494,0.84468,0.98771,0.000489042,0.000489042,0.000489042
16,613.308,1.28084,0.81357,0.96922,0.51119,0.34566,0.35081,0.19639,1.36642,0.84637,0.98964,0.000459045,0.000459045,0.000459045
17,653.715,1.28385,0.80161,0.96943,0.50063,0.36948,0.35608,0.20539,1.36286,0.83524,0.99462,0.000429048,0.000429048,0.000429048
18,693.87,1.26797,0.7798,0.96195,0.50201,0.37478,0.36941,0.20504,1.36227,0.83455,0.9912,0.000399051,0.000399051,0.000399051
19,738.595,1.25599,0.77484,0.95942,0.53574,0.33421,0.35773,0.20308,1.35152,0.82948,0.98836,0.000369054,0.000369054,0.000369054
20,778.733,1.24773,0.76257,0.95898,0.56906,0.32618,0.35842,0.2056,1.34879,0.83283,0.99017,0.000339057,0.000339057,0.000339057
21,823.678,1.29375,0.77119,0.95908,0.54651,0.35622,0.37326,0.2097,1.3647,0.83758,0.99484,0.00030906,0.00030906,0.00030906
22,863.208,1.26831,0.73976,0.95187,0.4171,0.40131,0.35544,0.20103,1.35171,0.82096,0.99146,0.000279063,0.000279063,0.000279063
23,902.347,1.26261,0.73316,0.95244,0.44942,0.36637,0.3538,0.19946,1.34752,0.82077,0.98936,0.000249066,0.000249066,0.000249066
24,942.091,1.25074,0.72165,0.946,0.52127,0.36225,0.36552,0.20716,1.33963,0.81653,0.98694,0.000219069,0.000219069,0.000219069
25,981.432,1.24942,0.71293,0.94285,0.58493,0.3541,0.38058,0.21532,1.34226,0.80254,0.98858,0.000189072,0.000189072,0.000189072
26,1021.01,1.23794,0.70007,0.94025,0.62619,0.36538,0.38931,0.22229,1.34862,0.80153,0.99028,0.000159075,0.000159075,0.000159075
27,1060.34,1.21894,0.68863,0.93351,0.52736,0.37744,0.38137,0.21639,1.34188,0.79649,0.9856,0.000129078,0.000129078,0.000129078
28,1099.78,1.22303,0.68164,0.93603,0.51172,0.38696,0.3916,0.22461,1.3354,0.79859,0.98659,9.9081e-05,9.9081e-05,9.9081e-05
29,1140.72,1.2121,0.67368,0.93424,0.59155,0.35916,0.40136,0.23158,1.33105,0.78777,0.98443,6.9084e-05,6.9084e-05,6.9084e-05
30,1180.13,1.1936,0.65607,0.92813,0.57521,0.36497,0.39276,0.22782,1.32802,0.79178,0.98514,3.9087e-05,3.9087e-05,3.9087e-05
