epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2216,1.50288,1.42596,1.12051,0.32117,0.25166,0.21152,0.12222,1.4521,1.07287,1.11097,0.000301711,0.000301711,0.000301711
2,186.166,1.47723,1.04741,1.10198,0.38077,0.25034,0.22165,0.12082,1.47046,1.01642,1.1107,0.000584755,0.000584755,0.000584755
3,287.281,1.50187,1.06085,1.10878,0.33592,0.28087,0.23888,0.12874,1.45993,1.01024,1.09273,0.000847802,0.000847802,0.000847802
4,391.432,1.47425,1.01567,1.09389,0.46721,0.2449,0.23039,0.12017,1.47903,1.03052,1.10539,0.000819009,0.000819009,0.000819009
5,494.594,1.46841,0.98008,1.08708,0.39425,0.27541,0.25915,0.14027,1.43375,0.94033,1.08679,0.000789012,0.000789012,0.000789012
6,599.292,1.4465,0.95874,1.07689,0.44103,0.29801,0.26825,0.14678,1.41746,0.93111,1.08453,0.000759015,0.000759015,0.000759015
7,704.985,1.40933,0.92548,1.05695,0.52442,0.27485,0.29275,0.15775,1.40046,0.90527,1.07122,0.000729018,0.000729018,0.000729018
8,798.489,1.40718,0.91531,1.06676,0.44417,0.29631,0.27704,0.14781,1.39917,0.89753,1.07255,0.000699021,0.000699021,0.000699021
9,901.365,1.3864,0.88573,1.05156,0.46224,0.30741,0.30131,0.16091,1.40486,0.89281,1.06558,0.000669024,0.000669024,0.000669024
10,958.629,1.36901,0.87011,1.0446,0.48519,0.28059,0.2913,0.16088,1.36875,0.87309,1.05783,0.000639027,0.000639027,0.000639027
11,1062.65,1.35791,0.85906,1.0389,0.4805,0.31942,0.31195,0.16838,1.37714,0.84598,1.06757,0.00060903,0.00060903,0.00060903
12,1165.56,1.35817,0.84526,1.0452,0.50461,0.30435,0.31428,0.17729,1.3808,0.85164,1.0746,0.000579033,0.000579033,0.000579033
13,1251.85,1.34966,0.84848,1.03979,0.50352,0.3108,0.32413,0.17964,1.33933,0.82781,1.04851,0.000549036,0.000549036,0.000549036
14,1356.87,1.32211,0.81535,1.03308,0.52641,0.33557,0.33219,0.18627,1.3289,0.81128,1.03611,0.000519039,0.000519039,0.000519039
15,1461.1,1.31541,0.81344,1.01902,0.45154,0.3444,0.32608,0.18134,1.32869,0.80931,1.03081,0.000489042,0.000489042,0.000489042
16,1561.77,1.3067,0.79263,1.02137,0.60335,0.28548,0.3354,0.18442,1.31807,0.80348,1.03975,0.000459045,0.000459045,0.000459045
17,1637,1.28854,0.77966,1.02351,0.54573,0.31644,0.3491,0.19355,1.32223,0.80725,1.04002,0.000429048,0.000429048,0.000429048
18,1701.48,1.28577,0.76549,1.01306,0.5559,0.34498,0.33156,0.18225,1.33064,0.79589,1.04061,0.000399051,0.000399051,0.000399051
19,1784.54,1.28074,0.76404,1.01583,0.47274,0.36091,0.337,0.18679,1.3071,0.77544,1.03249,0.000369054,0.000369054,0.000369054
20,1884.53,1.26374,0.7423,1.00572,0.48118,0.3432,0.35539,0.20264,1.3075,0.76945,1.02635,0.000339057,0.000339057,0.000339057
21,1986.12,1.30656,0.74883,1.0059,0.4404,0.33967,0.3259,0.18405,1.32017,0.79553,1.03348,0.00030906,0.00030906,0.00030906
22,2078.74,1.29725,0.7355,1.00669,0.48863,0.33702,0.34236,0.19089,1.31784,0.78342,1.03321,0.000279063,0.000279063,0.000279063
23,2181.08,1.27879,0.72731,0.99759,0.49175,0.34902,0.35013,0.19644,1.30592,0.77468,1.03542,0.000249066,0.000249066,0.000249066
24,2282.96,1.25914,0.70899,0.98889,0.46991,0.36881,0.34582,0.19622,1.30441,0.77471,1.03299,0.000219069,0.000219069,0.000219069
25,2386.18,1.26767,0.69721,0.99399,0.43844,0.36806,0.35359,0.19955,1.30224,0.76208,1.03184,0.000189072,0.000189072,0.000189072
26,2486.17,1.24948,0.68748,0.98704,0.57152,0.36666,0.36618,0.21183,1.29787,0.75244,1.0321,0.000159075,0.000159075,0.000159075
27,2587.31,1.24278,0.68202,0.98627,0.52074,0.34312,0.36287,0.21169,1.29237,0.75042,1.02542,0.000129078,0.000129078,0.000129078
28,2684.82,1.2298,0.66628,0.97871,0.53546,0.37793,0.36797,0.21376,1.29186,0.74544,1.02694,9.9081e-05,9.9081e-05,9.9081e-05
29,2794.12,1.22937,0.66096,0.97731,0.48927,0.37722,0.37153,0.21367,1.29265,0.74553,1.0254,6.9084e-05,6.9084e-05,6.9084e-05
30,2895.21,1.21559,0.65153,0.97168,0.51042,0.38824,0.37257,0.2156,1.28357,0.74041,1.02542,3.9087e-05,3.9087e-05,3.9087e-05
