category,option,seed,acc,loss,E1,E2,E3,E4,E5,E6,E7,E8
optimizer,Adam,0,0.9681818181818181,7.8151169050307505,245.46986380077544,129.49873265765962,71.10685786746797,37.989133516947426,24.191068217867898,16.368784836360387,9.801652374721709,7.8151169050307505
optimizer,Adam,42,0.9787878787878788,8.416087965170542,266.15387925647553,156.89859821682884,87.17680849347796,49.75933767500378,25.133506502423966,17.528818970634823,11.808655409585862,8.416087965170542
optimizer,Adam,21,0.9590909090909091,10.121980678467523,262.32850819542296,152.9123553321475,86.96430006481353,51.83661306472052,29.55643866175697,17.416294869922456,11.876096103872571,10.121980678467523
optimizer,AdamW,0,0.9712121212121212,8.749274336156391,263.30758476257324,146.8082347143264,80.41456619898479,46.531906354995,27.364036537352064,16.34456727618263,11.514033414068676,8.749274336156391
optimizer,AdamW,42,0.968939393939394,9.814689666032791,266.0835477738153,158.63372026171004,88.81047496341523,51.97254296711513,27.289920102982293,18.353957698458718,12.283827225367228,9.814689666032791
optimizer,AdamW,21,0.9590909090909091,9.961534432002477,262.71778297424316,152.82671428862074,87.75069927033924,51.17563665480841,30.61256778807867,18.571701946712675,12.050089645953406,9.961534432002477
optimizer,SGD,0,0.3287878787878788,276.9528274536133,334.46524520147415,304.11463455926804,294.59286553519115,288.9105951218378,283.35675266810824,281.1483176095145,279.77213904971165,276.9528274536133
optimizer,SGD,42,0.31212121212121213,278.54284232003346,333.9653015136719,303.9836098807199,293.21311205909365,287.98740750267393,284.94113268171037,281.64190147036595,279.39308093843005,278.54284232003346
optimizer,SGD,21,0.3196969696969697,278.0221252441406,333.5865071614583,304.784788949149,292.43089875720796,287.98550705682663,285.34906005859375,281.04319200061616,279.6097175961449,278.0221252441406
reg,0.0001,0,0.32727272727272727,276.8596374875023,334.48801676432294,304.0624019077846,294.49251338413785,288.8491378057571,283.22486768450057,281.0680222284226,279.67747388567244,276.8596374875023
reg,0.0001,42,0.3143939393939394,278.51093110584077,334.0043927147275,304.0982079278855,293.31598354521253,287.99073537190753,284.94056302025206,281.6846665881929,279.488272530692,278.51093110584077
reg,0.0001,21,0.3181818181818182,277.8287438892183,333.5789444333031,304.8345002673921,292.3556533086868,287.913080851237,285.37075315202986,280.919669015067,279.5693255833217,277.8287438892183
reg,0.0005,0,0.32727272727272727,277.06191235496885,334.4052476428804,304.0331558954148,294.47951671055387,288.91093880789623,283.3132146199544,281.08612351190476,279.8164173307873,277.06191235496885
reg,0.0005,42,0.3106060606060606,278.4946510678246,334.00551187424435,304.0587474278041,293.23174195062546,287.9712597074963,284.9458207629976,281.63280414399645,279.29739561535064,278.4946510678246
reg,0.0005,21,0.3151515151515151,277.98011035010927,333.5974240984236,304.78891481672014,292.3929632277716,288.00828152611143,285.5159049261184,281.0997016543434,279.77841567993164,277.98011035010927
reg,0.002,0,0.3234848484848485,277.0572951180594,334.45811062767393,304.05893162318637,294.5421945481073,288.94870449247816,283.30150277274,281.0748091198149,279.7972205025809,277.0572951180594
reg,0.002,42,0.30833333333333335,278.64310346330916,333.9760932922363,304.10172671363466,293.25830568586076,288.0202327909924,284.96741776239304,281.68064262753444,279.4105304536365,278.64310346330916
reg,0.002,21,0.3181818181818182,277.73147710164386,333.57748049781435,304.6918985275995,292.2846663338797,287.85516175769624,285.2172439211891,280.86453937348864,279.4845464797247,277.73147710164386
batch,32,0,0.4825757575757576,53.014627583821614,77.77198560310133,70.79176640366063,66.27360879146691,61.60296025131688,57.92890162612453,55.62774709065755,54.19397943670099,53.014627583821614
batch,32,42,0.4659090909090909,53.972135948412344,77.28046518961588,70.37879273385713,65.35685570456765,61.908087088844994,58.45505045110529,56.78395364934748,54.799243973240706,53.972135948412344
batch,32,21,0.4946969696969697,51.24074297818271,78.25777967048414,70.3304609818892,65.1679341171727,60.11358083089193,57.076081385756986,54.687137349446616,52.55869894316702,51.24074297818271
batch,128,0,0.32727272727272727,276.9164632161458,334.48619878859745,304.0997141883487,294.6213219052269,288.856327238537,283.38190096900576,281.16941833496094,279.7351898919968,276.9164632161458
batch,128,42,0.31136363636363634,278.4596136183966,334.01058033534457,304.07644326346264,293.2570960635231,287.9264284769694,284.9204366774786,281.6330857049851,279.46528698149183,278.4596136183966
batch,128,21,0.3151515151515151,277.97010839553104,333.5855516706194,304.77679734002976,292.3342610313779,287.9986572265625,285.42369842529297,281.07518223353793,279.74705178397045,277.97010839553104
batch,512,0,0.1590909090909091,1162.7934951782227,1383.124907060103,1270.8638596968217,1230.7502198652787,1198.9553000710227,1181.6633023348722,1175.9106133200905,1165.5887908935547,1162.7934951782227
