category,option,seed,acc,loss,E1,E2,E3,E4,E5,E6,E7,E8
optimizer,Adam,0,0.49696969696969695,1.3681169986724853,2.159957521611994,1.9354533195495605,1.8177434747869319,1.6735038836797078,1.5777057532108192,1.485049632101348,1.4157782316207885,1.3681169986724853
optimizer,Adam,42,0.5,1.4015684554071137,2.198944585973566,1.9539727254347368,1.8149148139086637,1.6840525677709868,1.5722588336828984,1.4965637626069965,1.4469715262904312,1.4015684554071137
optimizer,Adam,21,0.5037878787878788,1.363929001490275,2.1960913744839754,1.9660931926785092,1.8197959451964407,1.6828339663418856,1.5639032970775257,1.482784011147239,1.4141119841373329,1.363929001490275
optimizer,AdamW,0,0.5060606060606061,1.3743847254550818,2.178493715055061,1.933184476332231,1.8015520457065466,1.6665998126521255,1.5718782461050784,1.4991556478269172,1.4136152122959946,1.3743847254550818
optimizer,AdamW,42,0.5022727272727273,1.3930851141611735,2.195484025550611,1.9475067283167984,1.8022135893503826,1.6747917471509992,1.5682008280898585,1.4878615104790889,1.4338910355712429,1.3930851141611735
optimizer,AdamW,21,0.5159090909090909,1.363399177609068,2.1934160160295892,1.9669625918070475,1.814980886921738,1.6736443721886838,1.5583892605521463,1.4750487067482687,1.4106905496481694,1.363399177609068
optimizer,SGD,0,0.1409090909090909,2.303177478096702,2.303982616193367,2.3036157983722108,2.3035636005979594,2.303395649881074,2.303374839551521,2.3033966931429775,2.3032504255121404,2.303177478096702
optimizer,SGD,42,0.09393939393939393,2.302746191891757,2.3034560853784734,2.303209723848285,2.303132609165076,2.303113743753144,2.302998766754613,2.302936497601596,2.3029645919799804,2.302746191891757
optimizer,SGD,21,0.10454545454545454,2.302329111099243,2.303334029515584,2.3033875234199295,2.302952760638613,2.3027998115077164,2.30275760419441,2.302441783384843,2.302247885501746,2.302329111099243
reg,0,0,0.45454545454545453,1.4739702145258586,2.294940620480162,2.1711280967250013,1.9840442686369926,1.8547908392819492,1.7568544402266995,1.666573445002238,1.5364674871618098,1.4739702145258586
reg,0,42,0.46515151515151515,1.5133353840221058,2.3015456893227317,2.2716675209276604,2.053771345543139,1.9327612616799095,1.8171054124832153,1.6849547097177215,1.6134050940022324,1.5133353840221058
reg,0,21,0.4446969696969697,1.5294030557979237,2.297128015575987,2.218532669,2.0566657456484707,1.9342849456902707,1.8006460796702992,1.687592508576133,1.6115440838264696,1.5294030557979237
reg,0.001,0,0.4356060606060606,1.4752613811781912,2.2946829622442073,2.174785259998206,1.989043615803574,1.8618825833002726,1.7508334665587455,1.6622362772623698,1.5627835830052694,1.4752613811781912
reg,0.001,42,0.44772727272727275,1.5297121134671299,2.3015884457212508,2.274482585444595,2.0764795679034607,1.930357212008852,1.8176311088330819,1.6912548245805683,1.610409882,1.5297121134671299
reg,0.001,21,0.44393939393939397,1.5307985522530296,2.297135263500792,2.2198286229913884,2.0590599479097307,1.9284783226070983,1.7975357713121356,1.685076246839581,1.6153258475390349,1.5307985522530296
reg,0.01,0,0.4121212121212121,1.632386693087491,2.297525402993867,2.2256267099669484,2.089201729,1.9334666895143913,1.8775573614871863,1.7825352423118823,1.6854466524991123,1.632386693087491
reg,0.01,42,0.41515151515151516,1.6244813991315437,2.3017759554313892,2.2864538712935016,2.126497306245746,1.9709455591259581,1.8658088409539424,1.7589424147750392,1.6952865326043332,1.6244813991315437
reg,0.01,21,0.41515151515151516,1.6044286540060333,2.2979458794449314,2.2320375211311108,2.078856898799087,1.9541082786791253,1.8287349809299815,1.7391214645270145,1.6724787061864679,1.6044286540060333
batch,32,0,0.7560606060606061,0.7267004529635112,2.19600543903582,1.9617683952504938,1.8064998431639239,1.6311613913738365,1.4553895719123608,1.2064981771237921,0.9626890811053189,0.7267004529635112
batch,32,42,0.7363636363636363,0.7588851574695472,2.243237746845592,1.987444621143919,1.8439844117020117,1.701395736318646,1.4981857899463538,1.2766355474789937,1.0098921616872152,0.7588851574695472
batch,32,21,0.8053030303030303,0.5590647459933252,2.2049958229064943,1.9577503608934808,1.7995174227338848,1.594509001934167,1.355422316536759,1.090913836883776,0.8081253212509734,0.5590647459933252
batch,128,0,0.4393939393939394,1.5488274986093695,2.296626784584739,2.211602901689934,2.0206355398351494,1.9141373287547718,1.8393617167617335,1.7347861990784155,1.6360014785419812,1.5488274986093695
batch,128,42,0.45454545454545453,1.5228467016509084,2.3015748890963468,2.2725628087014864,2.0660340785980225,1.9410070708303742,1.8084127166054464,1.693895435333252,1.615219030235753,1.5228467016509084
batch,128,21,0.44545454545454544,1.5306195107373324,2.2970393859978877,2.2178726095141785,2.053774127815709,1.9264291495987864,1.8046293728279346,1.6881530133160678,1.6124665534857547,1.5306195107373324
schedule,Constant,0,0.49015151515151517,1.3983827793236934,2.294577373157848,2.1708309318080095,1.9822036800962506,1.8753972299171218,1.7402244091033936,1.63588515772964,1.516575306112116,1.3983827793236934
schedule,Constant,42,0.46060606060606063,1.459735834237301,2.301579070813728,2.2719296787724352,2.0606827504707104,1.9145137252229634,1.7674972519730077,1.711528155297944,1.566991389881481,1.459735834237301
schedule,Constant,21,0.4643939393939394,1.519281309301203,2.297085782253381,2.216160108103897,2.051644738515218,1.9114503412535697,1.8021325472629433,1.6699732592611602,1.5863181403188995,1.519281309301203
schedule,StepLR,0,0.40984848484848485,1.5950940724575158,2.296651929797548,2.2099062775120593,2.0248853929115063,1.9029885118657892,1.822304001721469,1.6791682850230825,1.6220757968497999,1.5950940724575158
schedule,StepLR,42,0.4257575757575758,1.5860659266963149,2.301546401688547,2.2711874412767816,2.063811744343151,1.934523550669352,1.786890316732002,1.6602347576256955,1.6112889058662183,1.5860659266963149
schedule,StepLR,21,0.42803030303030304,1.5864351836117832,2.29704197103327,2.216826408559626,2.037248319568056,1.9400656309994784,1.793177317128037,1.6524056044491855,1.6104672359697747,1.5864351836117832
schedule,Cosine,0,0.4348484848484849,1.5482132131403143,2.296682599096587,2.2130109786987306,2.026163774548155,1.9048443620855158,1.8399725942900687,1.7328231450283167,1.6266516671036229,1.5482132131403143
schedule,Cosine,42,0.453030303030303,1.5272213581836585,2.301553062959151,2.272480502273097,2.058927817778154,1.9152206507596103,1.7919719515424786,1.6886290261239716,1.604897623351126,1.5272213581836585
schedule,Cosine,21,0.43257575757575756,1.53910745418433,2.2970058397813276,2.218304985219782,2.0592080398039383,1.9350042335914843,1.8061309814453126,1.6947612863598447,1.6176689277995717,1.53910745418433
init,Kaiming,0,0.43636363636363634,1.5559662370970755,2.2966167319904676,2.212856662634647,2.0217732126062566,1.923744054996606,1.8343545111742887,1.7370017340688995,1.6320883274078368,1.5559662370970755
init,Kaiming,42,0.4575757575757576,1.528465046304645,2.301543971264001,2.2725324688535746,2.064585036942453,1.9328231247988614,1.7969242803978198,1.6866519140474725,1.6119320089166815,1.528465046304645
init,Kaiming,21,0.4340909090909091,1.5381842540972162,2.2970736821492515,2.2179942492282754,2.057347361246745,1.9313200278715654,1.8021030310428503,1.6904695684259587,1.6138485330523866,1.5381842540972162
