category,option,seed,acc,loss,E1,E2,E3,E4,E5,E6,E7,E8
optimizer,Adam,0,0.44772727272727275,1.8806474909637914,2.4189233014077853,2.2385854749968557,2.1116315465984923,2.0005743756438745,1.9642401254538333,1.9072915308403247,1.8755333264668783,1.8806474909637914
optimizer,Adam,42,0.45075757575757575,1.877864372369015,2.490379743865042,2.261549799370043,2.143954277038574,2.0444435842109447,1.9766993616566513,1.9159652464317554,1.8869206276806918,1.877864372369015
optimizer,Adam,21,0.44166666666666665,1.8732055765209776,2.4512052377065023,2.2505600611368815,2.1212242140914457,2.0260425755471894,1.9610716523546161,1.9223334464159878,1.889336396708633,1.8732055765209776
optimizer,SGD,0,0.28939393939393937,2.25705892533967,2.5113855694279525,2.4320281664530436,2.376648170297796,2.308041657823505,2.303020481629805,2.262774205930305,2.2427168210347492,2.25705892533967
optimizer,SGD,42,0.26136363636363635,2.2702520428281843,2.588203524098252,2.475664880058982,2.43454351569667,2.382014497121175,2.341764309912017,2.2945874387567695,2.277207834070379,2.2702520428281843
optimizer,SGD,21,0.26590909090909093,2.2631453080610795,2.5395426056601784,2.453613522558501,2.3992752595381304,2.3473418972708964,2.313954244960438,2.292190272880323,2.270755746147849,2.2631453080610795
reg,0.0001,0,0.28939393939393937,2.25705892533967,2.5113855694279525,2.4320281664530436,2.376648170297796,2.308041657823505,2.303020481629805,2.262774205930305,2.2427168210347492,2.25705892533967
reg,0.0001,42,0.26136363636363635,2.2702520428281843,2.588203524098252,2.475664880058982,2.43454351569667,2.382014497121175,2.341764309912017,2.2945874387567695,2.277207834070379,2.2702520428281843
reg,0.0001,21,0.26590909090909093,2.2631453080610795,2.5395426056601784,2.453613522558501,2.3992752595381304,2.3473418972708964,2.313954244960438,2.292190272880323,2.270755746147849,2.2631453080610795
reg,0.0005,0,0.28939393939393937,2.2570353869235875,2.5113832690499045,2.432020191712813,2.3766355456727926,2.3080267718344025,2.3030013489000725,2.262754450422345,2.2426962260043983,2.2570353869235875
reg,0.0005,42,0.26136363636363635,2.270227047891328,2.5882007122039794,2.4756559256351354,2.434528261242491,2.3819954872131346,2.3417425502430307,2.2945650779839717,2.277184013886885,2.270227047891328
reg,0.0005,21,0.26590909090909093,2.2631211786559136,2.5395401578961,2.4536051721283885,2.399261811285308,2.3473250316851066,2.3139344345439565,2.2921684236237496,2.270732868078983,2.2631211786559136
schedule,Constant,0,0.3409090909090909,2.177127507238677,2.5113855694279525,2.4313867410024006,2.3730750531861275,2.2980077122197007,2.282082495544896,2.226485622290409,2.186207069050182,2.177127507238677
schedule,Constant,42,0.3303030303030303,2.1814553593144272,2.588203524098252,2.474918267221162,2.4304294008197207,2.3701704545454545,2.317238001389937,2.2530015540845465,2.2145121256510416,2.1814553593144272
schedule,Constant,21,0.3234848484848485,2.179385927951697,2.5395426056601784,2.4529423930428247,2.3955930507544316,2.337063011978612,2.2918293678399286,2.2534999471722226,2.2116083015095103,2.179385927951697
schedule,Cosine,0,0.28939393939393937,2.25705892533967,2.5113855694279525,2.4320281664530436,2.376648170297796,2.308041657823505,2.303020481629805,2.262774205930305,2.2427168210347492,2.25705892533967
schedule,Cosine,42,0.26136363636363635,2.2702520428281843,2.588203524098252,2.475664880058982,2.43454351569667,2.382014497121175,2.341764309912017,2.2945874387567695,2.277207834070379,2.2702520428281843
schedule,Cosine,21,0.26590909090909093,2.2631453080610795,2.5395426056601784,2.453613522558501,2.3992752595381304,2.3473418972708964,2.313954244960438,2.292190272880323,2.270755746147849,2.2631453080610795
init,Kaiming,0,0.28939393939393937,2.25705892533967,2.5113855694279525,2.4320281664530436,2.376648170297796,2.308041657823505,2.303020481629805,2.262774205930305,2.2427168210347492,2.25705892533967
init,Kaiming,42,0.26136363636363635,2.2702520428281843,2.588203524098252,2.475664880058982,2.43454351569667,2.382014497121175,2.341764309912017,2.2945874387567695,2.277207834070379,2.2702520428281843
init,Kaiming,21,0.26590909090909093,2.2631453080610795,2.5395426056601784,2.453613522558501,2.3992752595381304,2.3473418972708964,2.313954244960438,2.292190272880323,2.270755746147849,2.2631453080610795
init,Xavier,0,0.28863636363636364,2.256610728755142,2.510813535343517,2.431538301525694,2.3761764815359405,2.3076144536336263,2.3025672623605438,2.2623461015296704,2.242298143560236,2.256610728755142
init,Xavier,42,0.26136363636363635,2.269776355859005,2.587526461572358,2.4751103950269293,2.4339849457596285,2.3814820217363764,2.341251097303448,2.294109909462206,2.276734938766017,2.269776355859005
init,Xavier,21,0.26590909090909093,2.262686097983158,2.5389578486933853,2.4530994747624253,2.398778792583581,2.3468666177807433,2.3134835185426654,2.2917243914170697,2.270298556125525,2.262686097983158
init,Orthogonal,0,0.3234848484848485,2.1543883049126826,2.4101515769958497,2.3412474993503456,2.2863786162752096,2.254267926649614,2.212741892265551,2.1830967989834873,2.1754671212398646,2.1543883049126826
init,Orthogonal,42,0.3068181818181818,2.172470488692775,2.4236426786942915,2.3566533074234473,2.300009314219157,2.256770476427945,2.2288438190113413,2.2026342045177114,2.177763012683753,2.172470488692775
init,Orthogonal,21,0.30606060606060603,2.176318896900524,2.431450431997126,2.3535567529273758,2.311606467853893,2.276667674382528,2.2457519415653113,2.2131342512188534,2.1961039022965863,2.176318896900524
